ID,KODE,KECAMATAN,NAME,KET
3101010001,3101010001,3101010,PULAU TIDUNG,DKI
3101010002,3101010002,3101010,PULAU PARI,DKI
3101010003,3101010003,3101010,PULAU UNTUNG JAWA,DKI
3101020001,3101020001,3101020,PULAU PANGGANG,DKI
3101020002,3101020002,3101020,PULAU KELAPA,DKI
3101020003,3101020003,3101020,PULAU HARAPAN,DKI
3171010001,3171010001,3171010,CIPEDAK,DKI
3171010002,3171010002,3171010,SRENGSENG SAWAH,DKI
3171010003,3171010003,3171010,CIGANJUR,DKI
3171010004,3171010004,3171010,JAGAKARSA,DKI
3171010005,3171010005,3171010,LENTENG AGUNG,DKI
3171010006,3171010006,3171010,TANJUNG BARAT,DKI
3171020001,3171020001,3171020,CILANDAK TIMUR,DKI
3171020002,3171020002,3171020,RAGUNAN,DKI
3171020003,3171020003,3171020,KEBAGUSAN,DKI
3171020004,3171020004,3171020,PASAR MINGGU,DKI
3171020005,3171020005,3171020,JATI PADANG,DKI
3171020006,3171020006,3171020,PEJATEN BARAT,DKI
3171020007,3171020007,3171020,PEJATEN TIMUR,DKI
3171030001,3171030001,3171030,LEBAK BULUS,DKI
3171030002,3171030002,3171030,PONDOK LABU,DKI
3171030003,3171030003,3171030,CILANDAK BARAT,DKI
3171030004,3171030004,3171030,GANDARIA SELATAN,DKI
3171030005,3171030005,3171030,CIPETE SELATAN,DKI
3171040001,3171040001,3171040,BINTARO,DKI
3171040002,3171040002,3171040,PESANGGRAHAN,DKI
3171040003,3171040003,3171040,ULUJAMI,DKI
3171040004,3171040004,3171040,PETUKANGAN SELATAN,DKI
3171040005,3171040005,3171040,PETUKANGAN UTARA,DKI
3171050001,3171050001,3171050,PONDOK PINANG,DKI
3171050002,3171050002,3171050,KEBAYORAN LAMA SELATAN,DKI
3171050003,3171050003,3171050,KEBAYORAN LAMA UTARA,DKI
3171050004,3171050004,3171050,CIPULIR,DKI
3171050005,3171050005,3171050,GROGOL SELATAN,DKI
3171050006,3171050006,3171050,GROGOL UTARA,DKI
3171060001,3171060001,3171060,GANDARIA UTARA,DKI
3171060002,3171060002,3171060,CIPETE UTARA,DKI
3171060003,3171060003,3171060,PULO,DKI
3171060004,3171060004,3171060,PETOGOGAN,DKI
3171060005,3171060005,3171060,MELAWAI,DKI
3171060006,3171060006,3171060,KRAMAT PELA,DKI
3171060008,3171060008,3171060,SELONG,DKI
3171060009,3171060009,3171060,RAWA BARAT,DKI
3171060010,3171060010,3171060,SENAYAN,DKI
3171070001,3171070001,3171070,BANGKA,DKI
3171070002,3171070002,3171070,PELA MAMPANG,DKI
3171070003,3171070003,3171070,TEGAL PARANG,DKI
3171070004,3171070004,3171070,MAMPANG PRAPATAN,DKI
3171070005,3171070005,3171070,KUNINGAN BARAT,DKI
